========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 79   | Hex: 52478183 | Flt: 3  Ch: 15 | Pol: 1 | Pos_Th: 71  | Neg_Th: 82  | W_9b: 110000011
Addr 80   | Hex: 0000FE38 | Flt: 4  Ch: 0  | (No Threshold)                | W_9b: 000111000
Addr 81   | Hex: 0000FEE3 | Flt: 4  Ch: 1  | (No Threshold)                | W_9b: 011100011
Addr 82   | Hex: 0000FF11 | Flt: 4  Ch: 2  | (No Threshold)                | W_9b: 100010001
Addr 83   | Hex: 0000FF47 | Flt: 4  Ch: 3  | (No Threshold)                | W_9b: 101000111
Addr 84   | Hex: 0000FE06 | Flt: 4  Ch: 4  | (No Threshold)                | W_9b: 000000110
Addr 85   | Hex: 0000FE1E | Flt: 4  Ch: 5  | (No Threshold)                | W_9b: 000011110
Addr 86   | Hex: 0000FECA | Flt: 4  Ch: 6  | (No Threshold)                | W_9b: 011001010
Addr 87   | Hex: 0000FE1A | Flt: 4  Ch: 7  | (No Threshold)                | W_9b: 000011010
Addr 88   | Hex: 0000FEDE | Flt: 4  Ch: 8  | (No Threshold)                | W_9b: 011011110
Addr 89   | Hex: 0000FE2C | Flt: 4  Ch: 9  | (No Threshold)                | W_9b: 000101100
Addr 90   | Hex: 0000FF83 | Flt: 4  Ch: 10 | (No Threshold)                | W_9b: 110000011
Addr 91   | Hex: 0000FFDE | Flt: 4  Ch: 11 | (No Threshold)                | W_9b: 111011110
Addr 92   | Hex: 0000FE2B | Flt: 4  Ch: 12 | (No Threshold)                | W_9b: 000101011
Addr 93   | Hex: 0000FE4B | Flt: 4  Ch: 13 | (No Threshold)                | W_9b: 001001011
Addr 94   | Hex: 0000FE11 | Flt: 4  Ch: 14 | (No Threshold)                | W_9b: 000010001
Addr 95   | Hex: 524580CE | Flt: 4  Ch: 15 | Pol: 1 | Pos_Th: 69  | Neg_Th: 82  | W_9b: 011001110
Addr 96   | Hex: 0000FEB3 | Flt: 5  Ch: 0  | (No Threshold)                | W_9b: 010110011
Addr 97   | Hex: 0000FE7D | Flt: 5  Ch: 1  | (No Threshold)                | W_9b: 001111101
Addr 98   | Hex: 0000FE5E | Flt: 5  Ch: 2  | (No Threshold)                | W_9b: 001011110
Addr 99   | Hex: 0000FFA1 | Flt: 5  Ch: 3  | (No Threshold)                | W_9b: 110100001
Addr 100  | Hex: 0000FF2D | Flt: 5  Ch: 4  | (No Threshold)                | W_9b: 100101101
Addr 101  | Hex: 0000FE00 | Flt: 5  Ch: 5  | (No Threshold)                | W_9b: 000000000
Addr 102  | Hex: 0000FFA7 | Flt: 5  Ch: 6  | (No Threshold)                | W_9b: 110100111
Addr 103  | Hex: 0000FF3B | Flt: 5  Ch: 7  | (No Threshold)                | W_9b: 100111011
Addr 104  | Hex: 0000FF91 | Flt: 5  Ch: 8  | (No Threshold)                | W_9b: 110010001
Addr 105  | Hex: 0000FE09 | Flt: 5  Ch: 9  | (No Threshold)                | W_9b: 000001001
Addr 106  | Hex: 0000FFA3 | Flt: 5  Ch: 10 | (No Threshold)                | W_9b: 110100011
Addr 107  | Hex: 0000FFA6 | Flt: 5  Ch: 11 | (No Threshold)                | W_9b: 110100110
Addr 108  | Hex: 0000FE7C | Flt: 5  Ch: 12 | (No Threshold)                | W_9b: 001111100
Addr 109  | Hex: 0000FE44 | Flt: 5  Ch: 13 | (No Threshold)                | W_9b: 001000100
Addr 110  | Hex: 0000FEDF | Flt: 5  Ch: 14 | (No Threshold)                | W_9b: 011011111
Addr 111  | Hex: 54498121 | Flt: 5  Ch: 15 | Pol: 1 | Pos_Th: 73  | Neg_Th: 84  | W_9b: 100100001
Addr 112  | Hex: 0000FFE0 | Flt: 6  Ch: 0  | (No Threshold)                | W_9b: 111100000
Addr 113  | Hex: 0000FE7B | Flt: 6  Ch: 1  | (No Threshold)                | W_9b: 001111011
Addr 114  | Hex: 0000FEC0 | Flt: 6  Ch: 2  | (No Threshold)                | W_9b: 011000000
Addr 115  | Hex: 0000FF69 | Flt: 6  Ch: 3  | (No Threshold)                | W_9b: 101101001
Addr 116  | Hex: 0000FE58 | Flt: 6  Ch: 4  | (No Threshold)                | W_9b: 001011000
Addr 117  | Hex: 0000FE5C | Flt: 6  Ch: 5  | (No Threshold)                | W_9b: 001011100
Addr 118  | Hex: 0000FE28 | Flt: 6  Ch: 6  | (No Threshold)                | W_9b: 000101000
Addr 119  | Hex: 0000FEE0 | Flt: 6  Ch: 7  | (No Threshold)                | W_9b: 011100000
Addr 120  | Hex: 0000FF48 | Flt: 6  Ch: 8  | (No Threshold)                | W_9b: 101001000
Addr 121  | Hex: 0000FE67 | Flt: 6  Ch: 9  | (No Threshold)                | W_9b: 001100111
Addr 122  | Hex: 0000FE79 | Flt: 6  Ch: 10 | (No Threshold)                | W_9b: 001111001
Addr 123  | Hex: 0000FE7C | Flt: 6  Ch: 11 | (No Threshold)                | W_9b: 001111100
Addr 124  | Hex: 0000FE3B | Flt: 6  Ch: 12 | (No Threshold)                | W_9b: 000111011
