========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 2580 words (Chuẩn: 16 + 256 + 2304 + 4 = 2580)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 93   | Hex: 0000FE2F | Flt: 4  Ch: 13 | (No Threshold)                | W_9b: 000101111
Addr 94   | Hex: 0000FF0F | Flt: 4  Ch: 14 | (No Threshold)                | W_9b: 100001111
Addr 95   | Hex: 50448003 | Flt: 4  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 80  | W_9b: 000000011
Addr 96   | Hex: 0000FE2B | Flt: 5  Ch: 0  | (No Threshold)                | W_9b: 000101011
Addr 97   | Hex: 0000FEC7 | Flt: 5  Ch: 1  | (No Threshold)                | W_9b: 011000111
Addr 98   | Hex: 0000FFCD | Flt: 5  Ch: 2  | (No Threshold)                | W_9b: 111001101
Addr 99   | Hex: 0000FEB3 | Flt: 5  Ch: 3  | (No Threshold)                | W_9b: 010110011
Addr 100  | Hex: 0000FEF8 | Flt: 5  Ch: 4  | (No Threshold)                | W_9b: 011111000
Addr 101  | Hex: 0000FE6C | Flt: 5  Ch: 5  | (No Threshold)                | W_9b: 001101100
Addr 102  | Hex: 0000FF34 | Flt: 5  Ch: 6  | (No Threshold)                | W_9b: 100110100
Addr 103  | Hex: 0000FF27 | Flt: 5  Ch: 7  | (No Threshold)                | W_9b: 100100111
Addr 104  | Hex: 0000FF4F | Flt: 5  Ch: 8  | (No Threshold)                | W_9b: 101001111
Addr 105  | Hex: 0000FF04 | Flt: 5  Ch: 9  | (No Threshold)                | W_9b: 100000100
Addr 106  | Hex: 0000FF5F | Flt: 5  Ch: 10 | (No Threshold)                | W_9b: 101011111
Addr 107  | Hex: 0000FE27 | Flt: 5  Ch: 11 | (No Threshold)                | W_9b: 000100111
Addr 108  | Hex: 0000FF27 | Flt: 5  Ch: 12 | (No Threshold)                | W_9b: 100100111
Addr 109  | Hex: 0000FFBB | Flt: 5  Ch: 13 | (No Threshold)                | W_9b: 110111011
Addr 110  | Hex: 0000FEDB | Flt: 5  Ch: 14 | (No Threshold)                | W_9b: 011011011
Addr 111  | Hex: 5043803B | Flt: 5  Ch: 15 | Pol: 1 | Pos_Th: 67  | Neg_Th: 80  | W_9b: 000111011
Addr 112  | Hex: 0000FE33 | Flt: 6  Ch: 0  | (No Threshold)                | W_9b: 000110011
Addr 113  | Hex: 0000FEBB | Flt: 6  Ch: 1  | (No Threshold)                | W_9b: 010111011
Addr 114  | Hex: 0000FF94 | Flt: 6  Ch: 2  | (No Threshold)                | W_9b: 110010100
Addr 115  | Hex: 0000FF6A | Flt: 6  Ch: 3  | (No Threshold)                | W_9b: 101101010
Addr 116  | Hex: 0000FFC9 | Flt: 6  Ch: 4  | (No Threshold)                | W_9b: 111001001
Addr 117  | Hex: 0000FFED | Flt: 6  Ch: 5  | (No Threshold)                | W_9b: 111101101
Addr 118  | Hex: 0000FEE2 | Flt: 6  Ch: 6  | (No Threshold)                | W_9b: 011100010
Addr 119  | Hex: 0000FE33 | Flt: 6  Ch: 7  | (No Threshold)                | W_9b: 000110011
Addr 120  | Hex: 0000FED6 | Flt: 6  Ch: 8  | (No Threshold)                | W_9b: 011010110
Addr 121  | Hex: 0000FEC3 | Flt: 6  Ch: 9  | (No Threshold)                | W_9b: 011000011
Addr 122  | Hex: 0000FE09 | Flt: 6  Ch: 10 | (No Threshold)                | W_9b: 000001001
Addr 123  | Hex: 0000FEB3 | Flt: 6  Ch: 11 | (No Threshold)                | W_9b: 010110011
